statename,tokentype
Start,
Comman accepting state,
Colon accepting state,
Lparen accepting state,
Rparen accepting state,
Lbrack accepting state,
Rbrack accepting state,
Lbrace accepting state,
Rbrace accepting state,
Period accepting state,
Plus accepting state,
Minus accepting state,
Mult accepting state,
Div accepting state,
Eq accepting state,
Neq accepting state,
Lesser accepting state,
Greater accepting state,
Lessereq accepting state,
Greatereq accepting state,
And accepting state,
Or accepting state,
Assign_accepting_state,
“Array_state_a,id
